Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
1809 - Kab. Pesawaran;121;80;56;95;139;40;86;153;19;109;68;258;130.2;0;0;108;74;50;86;125;36;77;0;19;108.557;84.3;284.2;141.6;0;0;8.93;9.25;8.93;9.05;8.99;9;8.953488372;0;10;9.959357798;12.39705882;11.01550388;10.87557604;0;0
1810 - Kab. Pringsewu;37;167;42;17;139;23;23.5;27.4;314.7;55.4;12.2;18;19;0;0;33;131;38;16;126;21;21;0;14;54.8132;12.5;15.8;17.3;0;0;8.92;7.84;9.05;9.41;9.06;9.13;8.75;0;0.444868128;9.894079422;10.24590164;8.777777778;9.105263158;0;0
1811 - Kab. Mesuji;78;18;20;16;13;5;18;13;6;3;9;9;0;0;0;70;17;18;14;12;4;16;0;6;2.784;8.4;8.3;0;0;0;8.97;9.44;9;8.75;9.23;8;8.888888889;0;10;9.28;9.333333333;9.222222222;0;0;0
1812 - Kab. Tulang Bawang Barat;56;31;33;28;8;20;9.4;27;14;6;34.7;14;100;0;0;50;29;30;25;7;18;8;0;11;5.898;28.5;14.6;100.9;0;0;8.93;9.35;9.09;8.93;8.75;9;8.888888889;0;7.857142857;9.83;8.213256484;10.42857143;10.09;0;0
1813 - Kab. Pesisir Barat;0;0;0;111;77;46;78;87;76;71;70;68;77;0;0;0;0;0;100;70;41;70;0;63.1;68.903;33.4;51.3;56.8;0;0;0;0;0;0;9.09;8.91;8.974358974;0;8.302631579;9.704647887;4.771428571;7.544117647;7.376623377;0;0
1871 - Kota Bandar Lampung;4;5;7;6;0;0;0;1;1;0;0;0;0;0;0;4;5;6;6;0;0;0;0;1;0;0;0;0;0;0;10;10;8.57;10;0;0;0;0;10;0;0;0;0;0;0
1872 - Kota Metro;31;12;12;4;24;2;1;1;0;6.9;1.9;0;6.5;0;0;28;10;11;4;22;2;1;0;0;6.5632;2;0;7;0;0;9.03;8.33;9.17;10;9.17;10;10;0;0;9.511884058;10.52631579;0;10.76923077;0;0
1901 - Kab. Bangka;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
1902 - Kab. Belitung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1903 - Kab. Bangka Barat;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
1904 - Kab. Bangka Tengah;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.75;0;0
